Team,Country,LeagueRanking,Matches Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,TopScorer,TopScorerGoals
Leverkusen,GER,1,34,28,6,0,89,24,65,90,2.65,73.6,29.9,43.7,1.29,"29,994",Victor Boniface,14
Real Madrid,ESP,1,38,29,8,1,87,26,61,95,2.5,68.8,35.4,33.4,0.88,"72,061",Jude Bellingham,19
Inter,ITA,1,38,29,7,2,89,22,67,94,2.47,78.2,31.2,47.1,1.24,"72,838",Lautaro Martínez,24
Manchester City,ENG,1,38,28,7,3,96,34,62,91,2.39,80.5,35.6,44.9,1.18,"53,012",Erling Haaland,27
Arsenal,ENG,2,38,28,5,5,91,29,62,89,2.34,76.1,27.9,48.2,1.27,"60,236",Bukayo Saka,16
Paris S-G,FRA,1,34,22,10,2,81,33,48,76,2.24,68.8,40,28.8,0.85,"46,834",Kylian Mbappé,27
Barcelona,ESP,2,38,26,7,5,79,44,35,85,2.24,77.6,41.6,35.9,0.94,"39,846",Robert Lewandowski,19
Liverpool,ENG,3,38,24,10,4,86,41,45,82,2.16,87.8,45.7,42,1.11,"55,979",Mohamed Salah,18
Stuttgart,GER,2,34,23,4,7,78,39,39,73,2.15,70.9,38.1,32.7,0.96,"55,089",Serhou Guirassy,28
Girona,ESP,3,38,25,6,7,85,46,39,81,2.13,70.8,54.3,16.5,0.43,"12,520",Artem Dovbyk,24
Bayern Munich,GER,3,34,23,3,8,94,45,49,72,2.12,85.2,32.1,53,1.56,"75,000",Harry Kane,36
Atlético Madrid,ESP,4,38,24,4,10,70,43,27,76,2,62.4,39.5,23,0.6,"59,121",Antoine Griezmann,16
Milan,ITA,2,38,22,9,7,76,49,27,75,1.97,66.2,45.4,20.8,0.55,"72,000",Olivier Giroud,15
Monaco,FRA,2,34,20,7,7,68,42,26,67,1.97,55,43.5,11.5,0.34,"7,884",Wissam Ben Yedder,16
RB Leipzig,GER,4,34,19,8,7,77,39,38,65,1.91,65.6,40.1,25.5,0.75,"44,921",Loïs Openda,24
Juventus,ITA,3,38,19,14,5,54,31,23,71,1.87,54.6,30.1,24.6,0.65,"38,142",Dušan Vlahović,16
Dortmund,GER,5,34,18,9,7,68,43,25,63,1.85,63.5,52,11.5,0.34,"81,305",Donyell Malen,13
Atalanta,ITA,4,38,21,6,11,72,42,30,69,1.82,57.8,41.1,16.7,0.44,"14,725","Gianluca Scamacca, Teun Koopmeiners",12
Athletic Club,ESP,5,38,19,11,8,61,37,24,68,1.79,52.7,41.3,11.4,0.3,"46,112",Gorka Guruzeta,14
Bologna,ITA,5,38,18,14,6,54,32,22,68,1.79,47.9,37.1,10.9,0.29,"25,914",Joshua Zirkzee,11
Brest,FRA,3,34,17,10,7,53,34,19,61,1.79,48.3,39.2,9.1,0.27,"14,513",Romain Del Castillo,8
Aston Villa,ENG,4,38,20,8,10,76,61,15,68,1.79,63.3,59.9,3.4,0.09,"41,858",Ollie Watkins,19
Lille,FRA,4,34,16,11,7,52,34,18,59,1.74,48.6,36.5,12.2,0.36,"39,932",Jonathan David,19
Tottenham,ENG,5,38,20,6,12,74,61,13,66,1.74,68.2,63.4,4.8,0.13,"61,482",Son Heung-min,17
Roma,ITA,6,38,18,9,11,65,46,19,63,1.66,51.4,41.8,9.6,0.25,"62,924","Romelu Lukaku, Paulo Dybala",13
Chelsea,ENG,6,38,18,9,11,77,63,14,63,1.66,74.5,58.1,16.4,0.43,"39,524",Cole Palmer,22
Nice,FRA,5,34,15,10,9,40,29,11,55,1.62,49.9,35.5,14.4,0.42,"24,952",Terem Moffi,11
Lazio,ITA,7,38,18,7,13,49,39,10,61,1.61,46.5,42,4.5,0.12,"42,689",Ciro Immobile,7
Newcastle Utd,ENG,7,38,18,6,14,85,62,23,60,1.58,76,61.4,14.6,0.38,"52,125",Alexander Isak,21
Fiorentina,ITA,8,38,17,9,12,61,46,15,60,1.58,51.7,48.2,3.6,0.09,"29,941",Nicolás González,12
